,Time,Freq,Angle1,Angle2,Phase
371,362.2,0.8428,-0.319,0.961,-1.28
372,363.38,0.8416,-0.33,0.961,-1.291
373,364.58,0.8406,-0.308,0.963,-1.271
374,365.76,0.8402,-0.327,0.961,-1.288
375,366.96,0.8379,-0.314,0.961,-1.275
376,368.16,0.8364,-0.302,0.961,-1.263
377,369.36,0.8358,-0.294,0.961,-1.255
378,370.56,0.8334,-0.294,0.963,-1.257
379,371.76,0.8323,-0.295,0.961,-1.256
380,372.96,0.8315,-0.297,0.963,-1.26
381,374.16,0.8315,-0.305,0.963,-1.268
382,375.36,0.8291,-0.316,0.961,-1.277
383,376.58,0.8271,-0.292,0.961,-1.253
384,377.78,0.8263,-0.311,0.961,-1.272
385,379.0,0.8244,-0.297,0.963,-1.26
386,380.22,0.8233,-0.289,0.961,-1.25
387,381.44,0.8214,-0.284,0.961,-1.2449999999999999
388,382.64,0.8197,-0.32,0.961,-1.281
389,383.88,0.8173,-0.286,0.961,-1.2469999999999999
390,385.1,0.8157,-0.298,0.963,-1.261
391,386.32,0.8143,-0.317,0.961,-1.278
392,387.56,0.813,-0.302,0.963,-1.265
393,388.8,0.8118,-0.287,0.961,-1.248
394,390.04,0.8105,-0.273,0.961,-1.234
395,391.26,0.8086,-0.306,0.961,-1.267
396,392.5,0.8075,-0.3,0.961,-1.261
397,393.74,0.8058,-0.298,0.963,-1.261
398,394.98,0.8042,-0.305,0.961,-1.266
399,396.24,0.8021,-0.276,0.961,-1.237
400,397.48,0.8013,-0.291,0.961,-1.252
401,398.72,0.7998,-0.306,0.961,-1.267
402,399.98,0.7982,-0.292,0.961,-1.253
403,401.24,0.7964,-0.281,0.961,-1.242
404,402.5,0.796,-0.278,0.961,-1.2389999999999999
405,403.76,0.7947,-0.28,0.961,-1.241
406,405.02,0.7924,-0.286,0.961,-1.2469999999999999
407,406.28,0.7912,-0.292,0.961,-1.253
408,407.54,0.791,-0.295,0.961,-1.256
409,408.82,0.7902,-0.259,0.961,-1.22
410,410.08,0.7886,-0.27,0.961,-1.2309999999999999
411,411.34,0.787,-0.291,0.961,-1.252
412,412.62,0.7863,-0.27,0.961,-1.2309999999999999
413,413.9,0.785,-0.254,0.961,-1.2149999999999999
414,415.16,0.784,-0.291,0.961,-1.252
415,416.44,0.783,-0.286,0.961,-1.2469999999999999
416,417.74,0.7806,-0.243,0.961,-1.204
417,419.02,0.779,-0.25,0.961,-1.2109999999999999
418,420.3,0.7775,-0.261,0.963,-1.224
419,421.58,0.7762,-0.275,0.961,-1.236
420,422.88,0.7744,-0.254,0.963,-1.217
421,424.18,0.7734,-0.24,0.961,-1.201
422,425.46,0.7717,-0.276,0.961,-1.237
423,426.76,0.7704,-0.27,0.961,-1.2309999999999999
424,428.06,0.7693,-0.27,0.961,-1.2309999999999999
425,429.38,0.7677,-0.234,0.963,-1.197
426,430.68,0.7658,-0.247,0.963,-1.21
427,431.98,0.7641,-0.261,0.961,-1.222
428,433.3,0.7636,-0.237,0.961,-1.198
429,434.6,0.7612,-0.262,0.961,-1.2229999999999999
430,435.92,0.7595,-0.253,0.963,-1.216
431,437.24,0.7588,-0.243,0.963,-1.206
432,438.56,0.7581,-0.245,0.961,-1.206
433,439.88,0.7557,-0.25,0.961,-1.2109999999999999
434,441.22,0.754,-0.212,0.963,-1.175
435,442.54,0.7527,-0.228,0.963,-1.191
436,443.88,0.7512,-0.207,0.963,-1.17
437,445.2,0.7493,-0.239,0.961,-1.2
438,446.54,0.7472,-0.228,0.963,-1.191
439,447.88,0.7451,-0.225,0.961,-1.186
440,449.22,0.7442,-0.232,0.961,-1.193
441,450.58,0.7423,-0.198,0.963,-1.161
442,451.92,0.741,-0.218,0.961,-1.179
443,453.28,0.7403,-0.201,0.961,-1.162
444,454.64,0.738,-0.184,0.963,-1.147
445,456.0,0.7366,-0.174,0.963,-1.137
446,457.34,0.7353,-0.221,0.961,-1.182
447,458.72,0.7339,-0.178,0.963,-1.141
448,460.08,0.7324,-0.185,0.963,-1.148
449,461.44,0.7312,-0.199,0.963,-1.162
450,462.82,0.73,-0.174,0.963,-1.137
451,464.18,0.7273,-0.203,0.961,-1.164
452,465.56,0.7256,-0.187,0.963,-1.15
453,466.94,0.7267,-0.182,0.963,-1.145
454,468.32,0.7264,-0.187,0.963,-1.15
455,469.72,0.7248,-0.149,0.963,-1.1119999999999999
456,471.1,0.7227,-0.162,0.963,-1.125
457,472.48,0.7195,-0.185,0.961,-1.146
458,473.88,0.7168,-0.168,0.963,-1.131
459,475.28,0.714,-0.156,0.963,-1.119
460,476.68,0.7109,-0.151,0.963,-1.1139999999999999
461,478.08,0.7076,-0.154,0.963,-1.117
462,479.48,0.7055,-0.16,0.963,-1.123
463,480.9,0.7025,-0.126,0.963,-1.089
464,482.3,0.6998,-0.149,0.963,-1.1119999999999999
465,483.8,0.6982,-0.024,0.963,-0.987
466,485.3,0.6961,-0.05,0.963,-1.013
467,486.72,0.6945,-0.107,0.963,-1.07
468,488.14,0.6939,-0.121,0.963,-1.084
469,489.56,0.6929,-0.14,0.963,-1.103
470,491.0,0.6932,-0.115,0.963,-1.078
471,492.44,0.6928,-0.11,0.963,-1.073
472,493.88,0.6929,-0.116,0.963,-1.079
473,495.32,0.6929,-0.119,0.963,-1.0819999999999999
474,496.78,0.693,-0.085,0.963,-1.048
