"Time (s) Run #16","Angle, Ch P1 (rad) Run #16","Angle, Ch P2 (rad) Run #16","AngleAmp (rad) Run #16","DrivingFrequency (Hz) Run #16","freq (Hz) Run #16","AngVel (rad/s) Run #16","DriverAngleVel (rad/s) Run #16"
8.820,-0.090,0.187,,,,-1.2828,5.1836
8.840,-0.116,0.297,,,,-1.3221,5.5502
8.860,-0.143,0.412,,,,-1.3352,5.7858
8.880,-0.170,0.529,,,,-1.3221,5.9036
8.900,-0.196,0.649,,,,-1.2697,5.8905
8.920,-0.221,0.768,,,,-1.1781,5.7072
8.940,-0.243,0.880,,,,-1.0603,5.3538
8.960,-0.264,0.983,,,,-0.9294,4.8564
8.980,-0.281,1.076,,,,-0.7723,4.2412
9.000,-0.295,1.155,,,,-0.5890,3.4950
9.020,-0.305,1.217,,,,-0.3927,2.6442
9.040,-0.311,1.261,,,,-0.1833,1.7017
9.060,-0.313,1.286,,,,0.0393,0.7069
9.080,-0.309,1.290,,1.2500,1.2484,0.2618,-0.3011
9.100,-0.302,1.274,,,,0.4581,-1.3221
9.120,-0.291,1.238,,,,0.6414,-2.3038
9.140,-0.276,1.180,,,,0.8247,-3.2070
9.160,-0.258,1.107,,,,0.9948,-3.9924
9.180,-0.236,1.019,,,,1.1257,-4.6600
9.200,-0.212,0.919,,,,1.2174,-5.1967
9.220,-0.187,0.809,,,,1.2828,-5.5763
9.240,-0.160,0.694,,,,1.3352,-5.8120
9.260,-0.134,0.575,,,,1.3483,-5.9036
9.280,-0.105,0.456,,,,1.3221,-5.8512
9.300,-0.080,0.339,,,,1.2697,-5.6549
9.320,-0.055,0.228,,,,1.1781,-5.3407
9.340,-0.031,0.124,,,,1.0603,-4.8957
9.360,-0.013,0.030,,,,0.9163,-4.3459
9.380,0.005,-0.050,,,,0.7592,-3.7176
9.400,0.019,-0.119,,,,0.5890,-3.0238
9.420,0.028,-0.173,,,,0.3927,-2.2777
9.440,0.035,-0.210,,,,0.1833,-1.4792
9.460,0.036,-0.232,0.1662,,,-0.0262,-0.6545
9.480,0.033,-0.237,,,,-0.2356,0.1963
9.500,0.027,-0.225,,,,-0.4320,1.0472
9.520,0.016,-0.195,,,,-0.6152,1.8719
9.540,0.002,-0.149,,,,-0.7985,2.6573
9.560,-0.016,-0.088,,,,-0.9556,3.3903
9.580,-0.038,-0.013,,,,-1.0865,4.0579
9.600,-0.060,0.075,,,,-1.1912,4.6339
9.620,-0.085,0.174,,,,-1.2697,5.1182
9.640,-0.112,0.281,,,,-1.3221,5.4978
9.660,-0.138,0.396,,,,-1.3352,5.7465
9.680,-0.165,0.514,,,,-1.3221,5.8774
